metric,value,type
overall_stats_total_unique_words,44980,int
overall_stats_total_word_frequency,235066,int
yearly_stats_words_per_year_2017,8488,int
yearly_stats_words_per_year_2018,3839,int
yearly_stats_words_per_year_2019,7376,int
yearly_stats_total_freq_per_year_2017,19072,int
yearly_stats_total_freq_per_year_2018,6388,int
yearly_stats_total_freq_per_year_2019,15844,int
tfidf_stats_total_term_year_pairs,1350,int
zipf_analysis_slope,-0.9738926464334182,float
zipf_analysis_intercept,10.178059712897678,float
zipf_analysis_r_squared,0.9680837516379083,float
zipf_analysis_p_value,0.0,float
zipf_analysis_std_err,0.0008337972704311184,float
zipf_analysis_total_terms,44980,int
zipf_analysis_valid_terms,44980,int
heaps_analysis_K,8.784756511661069,float
heaps_analysis_beta,0.6924210084366959,float
heaps_analysis_r_squared,0.995428380329542,float
heaps_analysis_p_value,0.0,float
heaps_analysis_std_err,0.002515420819899176,float
heaps_analysis_confidence_lower,0.0,float
heaps_analysis_confidence_upper,0.0,float
heaps_analysis_total_documents,350,int
heaps_analysis_final_corpus_size,235066,int
heaps_analysis_final_vocab_size,44980,int
heaps_analysis_final_ttr,0.19135051432363676,float
heaps_analysis_valid_points,350,int
lexical_metrics_ttr,0.19135051432363676,float
lexical_metrics_maas_ttr,0.01081112256711096,float
lexical_metrics_lexical_density,0.9999914917512528,float
lexical_metrics_content_function_ratio,117532.0,float
lexical_metrics_total_tokens,235066,int
lexical_metrics_unique_tokens,44980,int
ngram_stats_single_chars,8392,int
ngram_stats_two_chars,187365,int
ngram_stats_three_chars,19093,int
ngram_stats_four_chars,6900,int
ngram_stats_multi_chars,243,int
ngram_stats_english_terms,4097,int
ngram_stats_compound_ngrams,7017,int
ngram_stats_total_tokens,235066,int
ngram_stats_ngram_length_distribution_1,226090,int
ngram_stats_ngram_length_distribution_2,6752,int
ngram_stats_ngram_length_distribution_7,15,int
ngram_stats_ngram_length_distribution_3,167,int
ngram_stats_ngram_length_distribution_4,33,int
ngram_stats_ngram_length_distribution_8,46,int
ngram_stats_ngram_length_distribution_24,1,int
ngram_stats_ngram_length_distribution_6,3,int
ngram_stats_1,7591,int
ngram_stats_2,871,int
ngram_stats_3,51,int
ngram_stats_4,27,int
ngram_stats_5,20,int
ngram_stats_6,19,int
ngram_stats_7,18,int
ngram_stats_8,16,int
config_execution_run_analysis,False,bool
config_execution_run_visualization,True,bool
config_data_paths_corpus_root,../Wechat-Backup/文不加点的张衔瑜,str
config_data_paths_output_dir,out,str
config_data_paths_stopwords_zh_path,data/stopwords.zh.txt,str
config_data_paths_stopwords_en_path,data/stopwords.en.txt,str
config_data_paths_allow_singletons_path,data/allow_singletons.zh.txt,str
config_analysis_max_n,8,int
config_analysis_min_freq,5,int
config_analysis_collocation,pmi,str
config_analysis_pmi_threshold,3.0,float
config_analysis_llr_threshold,10.83,float
config_analysis_tokenizer_type,auto,str
config_tfidf_min_df,1,int
config_tfidf_max_df,0.98,float
config_tfidf_topk,150,int
config_visualization_generate_wordclouds,True,bool
config_visualization_generate_scientific_plots,True,bool
config_visualization_generate_report,True,bool
config_visualization_wordcloud_max_words,200,int
config_visualization_yearly_wordcloud_max_words,100,int
config_visualization_color_scheme,nature,str
config_visualization_yearly_comparison_top_n,20,int
config_visualization_growth_chart_top_n,20,int
config_reproducibility_seed,42,int
config_system_info_platform,Linux-6.11.0-1018-azure-x86_64-with-glibc2.39,str
config_system_info_python_version,3.12.3,str
config_system_info_timestamp,2025-08-31T02:59:15.351641,str
config_system_info_working_directory,/home/runner/work/scrape-my-wechat-official-account/scrape-my-wechat-official-account/analysis,str
config_runtime_info_tokenizer_used,unknown,str
